ds,y
2024-05-02,6032.0
2024-05-07,6041.0
2024-05-08,6130.0
2024-05-09,6170.0
2024-05-12,6232.0
2024-05-13,6240.0
2024-05-14,6232.0
2024-05-15,6223.0
2024-05-16,6255.0
2024-05-19,6301.0
2024-05-20,6288.0
2024-05-21,6333.0
2024-05-22,6387.0
2024-05-23,6387.0
2024-05-26,6622.0
2024-05-27,6693.0
2024-05-28,6798.0
2024-05-29,6877.0
2024-05-30,7014.0
2024-06-02,7308.0
2024-06-04,7137.0
2024-06-05,7034.0
2024-06-09,6850.0
2024-06-10,6901.0
2024-06-11,6870.0
2024-06-12,6924.0
2024-06-13,6984.0
2024-06-16,7273.0
2024-06-17,7273.0
2024-06-18,7321.0
2024-06-19,7349.0
2024-06-20,7377.0
2024-06-23,7782.0
2024-06-24,7913.0
2024-06-25,8091.0
2024-06-26,8263.0
2024-06-27,8575.0
2024-06-30,8762.0
2024-07-01,8829.0
2024-07-02,9186.0
2024-07-03,9496.0
2024-07-04,9762.0
2024-07-07,10806.0
2024-07-08,10979.0
2024-07-09,11134.0
2024-07-10,11282.0
2024-07-11,11643.0
2024-07-14,12722.0
2024-07-15,12895.0
2024-07-16,13041.0
2024-07-17,13262.0
2024-07-18,13476.0
2024-07-21,13858.0
2024-07-22,13855.0
2024-07-23,14003.0
2024-07-24,14224.0
2024-07-25,14429.0
2024-07-28,15399.0
2024-07-29,15695.0
2024-07-30,15952.0
2024-07-31,16888.0
2024-08-01,17132.0
2024-08-02,17907.81818181818
2024-08-05,18281.545454545456
2024-08-06,18041.090909090908
2024-08-07,18229.18181818182
2024-08-08,18458.727272727272
2024-08-09,19030.090909090908
2024-08-12,19510.727272727272
2024-08-13,19500.0
2024-08-14,20648.81818181818
2024-08-16,24299.0
2024-08-19,29026.0
2024-08-20,29920.0
2024-08-21,29908.0
2024-08-22,29800.6
2024-08-23,33515.1
2024-08-26,36943.3
2024-08-27,37350.7
2024-08-28,37105.09090909091
2024-08-29,38617.0
2024-08-30,41218.3
2024-09-02,37653.9
2024-09-03,37141.90909090909
2024-09-04,36963.63636363636
2024-09-05,35244.27272727273
2024-09-06,35662.27272727273
2024-09-09,38374.36363636364
2024-09-10,38574.818181818184
2024-09-11,39478.181818181816
2024-09-12,38373.36363636364
2024-09-13,39091.818181818184
2024-09-19,35675.09090909091
2024-09-20,34610.3
2024-09-23,31826.909090909092
2024-09-24,30849.272727272728
2024-09-25,29356.0
2024-09-26,27952.272727272728
2024-09-27,25914.454545454544
2024-09-30,26254.454545454544
2024-10-02,26229.272727272728
2024-10-04,20922.18181818182
2024-10-07,21463.363636363636
2024-10-08,21517.636363636364
2024-10-10,19679.0
2024-10-11,18305.18181818182
2024-10-14,17257.909090909092
2024-10-15,17595.545454545456
2024-10-16,16673.090909090908
2024-10-17,15228.181818181818
2024-10-18,13975.90909090909
2024-10-21,13451.454545454546
2024-10-22,13271.90909090909
2024-10-23,12872.818181818182
2024-10-24,9729.545454545454
2024-10-25,8769.545454545454
2024-10-28,8721.0
2024-10-29,9121.545454545454
2024-10-30,8928.09090909091
2024-10-31,9373.272727272728
2024-11-01,9049.90909090909
2024-11-04,9117.90909090909
2024-11-05,9070.0
2024-11-06,9529.09090909091
2024-11-07,10607.454545454546
2024-11-08,10375.363636363636
2024-11-11,10335.727272727272
2024-11-12,10427.545454545454
2024-11-13,10522.363636363636
2024-11-14,10277.454545454546
2024-11-15,10280.90909090909
2024-11-18,10145.272727272728
2024-11-19,10183.636363636364
2024-11-20,10154.727272727272
2024-11-21,10201.454545454546
2024-11-22,9334.636363636364
2024-11-25,9592.636363636364
2024-11-26,9688.90909090909
2024-11-27,9616.454545454546
2024-11-28,9414.0
2024-11-29,9002.09090909091
2024-12-02,9691.272727272728
2024-12-03,9609.727272727272
2024-12-04,9320.454545454546
2024-12-05,9045.363636363636
2024-12-09,9043.545454545454
2024-12-10,8944.90909090909
2024-12-11,8938.454545454546
2024-12-12,9113.90909090909
2024-12-13,9418.636363636364
2024-12-16,9524.363636363636
2024-12-17,9542.0
2024-12-18,9676.181818181818
2024-12-19,9811.818181818182
2024-12-20,9879.818181818182
2024-12-23,9825.181818181818
2024-12-24,9973.454545454546
2024-12-26,10011.272727272728
